Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C19, C2, C21, C24, C26, C4, C5, C7, C8, C9",402,15,100nF,C1525
"C13, C18, C6",402,3,2.2uF,C12530
"C15, C22, C23",1210,3,10u,C138687
"C16, C20",402,2,30pF,C1570
C17,CP_Elec_6.3x7.7,1,100u,C178560
"C27, C3",805,2,1u,C28323
"C28, C30",603,2,100n,C14663
D1,SON50P100X255X50-10N,1,TPD4E05U06DQAR,C138714
D2,D_SMA,1,D_Schottky,C8678
"D3, D6",D_SMA,2,D_TVS,C19077540
D5,603,1,RED,C2286
J1,USB_C,1,USB_C_Receptacle,C963411
J4,Conn_OLED_PocketPD,1,OLED,C20071191
J6,Banana_Cliff_FCR7350R_S16N-PC_Horizontal,1,BananaP,C7437326
J8,Banana_Cliff_FCR7350B_S16N-PC_Horizontal,1,BananaN,C7437327
R1,1206,1,5mR,C2988648
"R10, R11",402,2,27R,C138021
"R12, R18, R20, R26, R27, R29, R30",402,7,1k,C11702
"R13, R14, R25",402,3,10R,C25077
"R15, R16, R17, R19, R22, R28, R6, R7, R9",402,9,10k,C25744
"R2, R21, R23, R24, R3, R4, R5, R8",402,8,5.1k,C25905
SW1,RotaryEncoder_EC11B_SW_Horizontal,1,RotaryEncoder_Switch,
SW2,Button_6.2x6.2x12mm,1,SW_Select,C2762973
SW4,Button_6.2x6.2x12mm,1,SW_OutPut,C2762973
SW5,Button-SMD_TS24CA,1,SW_Boot,C692458
TH1,402,1,Thermistor_NTC,C77131
"U1, U6",VQFN-HR-16,2,LM73100,C3210761
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,AP33772,C5244513
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-23-5,1,AP2204K-3.3,C112032
U5,8-USON,1,W25Q16JVUXIQ_TR,C2843335
U7,VSSOP-10_3x3mm_P0.5mm,1,INA226,C49851
U8,SOT-353_SC-70-5,1,74LVC1G17,C10425
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
